,L,H,label,head_dla,mover_attn,mover_dla,dla_ratio,induction,eigenvals_vocab,eigenvals_resid,head_dla_no_ind,mover_attn_no_ind,mover_dla_no_ind,ratio_dla_no_ind
0,0,0,L0H0,0.022419708,0.0174119,0.00014832715,0.05426858,0.0005385985,0.835221,0.9711104,0.033559214,0.025016554,0.0002766027,0.10454849
1,0,1,L0H1,0.008566698,0.019396856,4.5337343e-05,0.035611983,0.0010423299,0.29374155,0.9080946,0.011862629,0.028873716,9.3900046e-05,0.07372394
2,0,2,L0H2,0.010677504,0.020614907,0.00037183633,0.054658413,0.0011134348,0.6516865,0.96474314,0.015786514,0.029470578,0.000553642,0.14018378
3,0,3,L0H3,0.030837493,0.018712845,0.00022959287,0.022478234,0.00038708723,0.7922184,0.96146417,0.04597565,0.029715873,0.00033661939,0.045214817
4,0,4,L0H4,0.009224765,0.022754265,0.00039799474,0.08365993,0.0010939164,0.6192408,0.9707374,0.013309485,0.031714518,0.0005666373,0.16342096
5,0,5,L0H5,0.0088226115,0.02175953,0.0002787875,0.06965756,0.0021393243,0.18000787,0.8620384,0.011486538,0.03109809,0.0003974697,0.12089985
6,0,6,L0H6,0.007277246,0.025164617,0.00024384818,0.08112964,0.0025598696,-0.12266524,0.4268442,0.009777833,0.032839008,0.0003549804,0.13211903
7,0,7,L0H7,0.0065384023,0.029211337,8.465896e-05,0.0473483,0.0010999523,0.29577404,0.86892253,0.009374428,0.03807706,0.00016361779,0.10324277
8,0,8,L0H8,0.0101024555,0.024668299,0.00039150953,0.10321275,0.0011976463,0.5851167,0.96467847,0.014427636,0.03395474,0.0005885225,0.1880337
9,0,9,L0H9,0.0059651253,0.025573593,3.4768247e-05,0.07453255,0.00235061,-0.057781674,0.45067656,0.008518082,0.03440415,9.3143084e-05,0.14873713
10,0,10,L0H10,0.014715761,0.020685358,0.00039807404,0.09583225,0.0006696738,0.81648344,0.9735073,0.02564522,0.029568445,0.0006758176,0.19853985
11,0,11,L0H11,0.0152924005,0.021523524,0.0002497551,0.044470623,0.00038538146,0.58535314,0.8878935,0.0213541,0.03342779,0.00040123324,0.107745476
12,0,12,L0H12,0.0060085566,0.025510117,0.000144558,0.083446085,0.0024061133,0.026251782,0.66334355,0.007483018,0.03392366,0.00021866745,0.15022057
13,0,13,L0H13,0.011942702,0.032770228,0.00066148327,0.12770028,0.003592372,-0.16508812,0.1822264,0.014745465,0.040214535,0.0012011594,0.25648913
