,L,H,label,head_dla,mover_attn,mover_dla,dla_ratio,induction,eigenvals_vocab,eigenvals_resid,head_dla_no_ind,mover_attn_no_ind,mover_dla_no_ind,ratio_dla_no_ind
0,0,0,L0H0,0.0036421593,0.018549033,3.274684e-05,0.024406135,0.001991507,-0.036068242,0.047156945,0.0055926964,0.027795061,5.070505e-05,0.044992886
1,0,1,L0H1,0.011788254,0.039126914,6.579332e-05,0.009591467,0.002424518,-0.27577138,-0.9674871,0.013272585,0.049797118,0.0001298316,0.016791565
2,0,2,L0H2,0.013285596,0.034410622,0.00033583972,0.05179826,0.0031522126,-0.575937,-0.93670666,0.015476663,0.04534948,0.00048351038,0.0706921
3,0,3,L0H3,0.004441669,0.05164375,0.0002043331,0.07352103,0.004384992,-0.32914373,-0.97385526,0.0050486685,0.071544625,0.00033395764,0.10984436
4,0,4,L0H4,0.011336897,0.040221155,0.00018746144,0.031752076,0.001983536,0.05385804,-0.37355453,0.013071047,0.06148839,0.00034812852,0.05420582
5,0,5,L0H5,0.0024923026,0.023938496,6.431977e-05,0.03562099,0.0013262864,0.75288236,0.9873376,0.0034660767,0.037277523,0.00015306594,0.07614478
6,0,6,L0H6,0.010589915,0.06943604,0.00061035546,0.1018973,0.0034412693,0.44780582,0.90758586,0.011959173,0.15994087,0.0015500544,0.21375605
7,0,7,L0H7,0.012023042,0.039277595,0.00043331218,0.0546815,0.0040517855,-0.2765092,-0.948577,0.013299679,0.052284755,0.00063492625,0.07165707
8,0,8,L0H8,0.010021308,0.04043727,0.0,0.0021296882,0.0024696128,-0.37157634,-0.98583925,0.011890938,0.054806,8.813498e-06,0.008219736
9,0,9,L0H9,0.0050954306,0.02511612,0.0,0.054025363,0.0008718431,0.48653376,0.28138387,0.0070717605,0.030892104,1.6274569e-07,0.08030487
10,0,10,L0H10,0.0046762885,0.012183949,6.482368e-05,0.023247257,0.0015219286,0.66319215,0.97686476,0.0058026197,0.017577935,0.00010376877,0.04218859
11,0,11,L0H11,0.0047738617,0.04558563,0.00010542612,0.026487142,0.0024595738,-0.3837854,-0.94688064,0.006649475,0.063677154,0.00019385095,0.04231577
12,0,12,L0H12,0.0053868582,0.025629574,0.00011122795,0.04022877,0.0016958129,-0.012425693,-0.29155338,0.0063836966,0.04261875,0.0002155309,0.0713266
13,0,13,L0H13,0.0036474403,0.038304538,4.6383942e-05,0.069850594,0.0034596017,-0.16532741,-0.9551177,0.004512108,0.050356597,9.20132e-05,0.1020399
14,0,14,L0H14,0.0033308836,0.012803367,2.4843874e-05,0.025938164,0.0026067519,0.20449531,0.30887163,0.004471776,0.016180087,5.070895e-05,0.045094136
15,0,15,L0H15,0.001845009,0.041314606,0.0,0.087071754,0.003742442,-0.1452759,-0.8345347,0.002892295,0.05559161,7.668332e-06,0.13919279
16,1,0,L1H0,0.003458119,0.060591694,0.0,0.0859053,0.0043307473,-0.47951555,-0.4978187,0.024611304,0.08153433,0.0,0.1308721
17,1,1,L1H1,0.050087653,0.036890626,0.0011608176,0.09524628,0.0006675154,0.08955373,-0.04902438,0.06848181,0.045935355,0.002235802,0.14453183
